 ,T23005000100,T23005000200,T23005000300,T23005000500,T23005000600,T23005001000,T23005001100,T23005001200,T23005001300,T23005001500,T23005001700,T23005001800,T23005001900,T23005002001,T23005002002,T23005002101,T23005002102,T23005002200,T23005002300
PTOT,"2,285","2,497","3,125","2,225","2,824","2,752","2,556","1,496","3,408","3,257","4,496","3,782","4,334","3,476","2,305","5,717","4,951","4,394","3,357"
MTOT,"1,213","1,117","1,731","1,036","1,618","1,466","1,172",701,"1,688","1,519","2,117","1,791","1,971","1,579","1,108","2,662","2,382","1,808","1,554"
M0,0,18,0,0,0,8,0,5,11,0,23,9,0,40,23,43,54,0,8
M1,16,12,33,0,26,7,8,14,5,32,17,42,18,34,28,24,45,20,38
M2,6,18,9,11,28,3,12,11,24,23,45,10,38,3,0,25,49,31,25
M3,18,0,10,23,9,22,0,9,20,0,8,21,10,12,0,36,38,31,10
M4,11,11,0,15,14,9,0,15,30,34,34,30,32,16,0,58,18,0,0
M5,12,15,8,9,18,28,0,11,10,0,11,21,8,32,7,91,55,16,25
M6,17,0,0,35,5,3,9,18,16,20,25,11,14,0,7,20,20,23,13
M7,17,14,0,11,0,21,6,0,16,0,17,35,34,8,7,60,47,34,4
M8,14,26,0,15,24,8,0,18,8,14,34,0,12,13,21,36,49,16,10
M9,10,7,0,19,14,6,7,9,17,20,32,20,21,27,0,65,43,7,12
M10,12,17,0,46,0,10,10,9,6,18,24,6,42,34,8,13,36,53,34
M11,19,6,0,26,0,0,0,0,0,4,32,7,53,37,28,31,55,23,19
M12,15,12,0,44,0,9,0,27,0,7,16,23,43,33,11,50,26,23,25
M13,21,4,0,52,0,0,8,16,0,15,17,27,44,25,31,56,52,7,20
M14,16,9,0,0,8,0,11,0,10,5,61,32,12,43,0,54,40,18,20
M15,0,8,0,24,18,0,7,4,18,17,48,13,42,29,26,13,45,20,20
M16,14,7,10,0,7,7,9,0,8,20,9,26,48,22,26,14,16,14,17
M17,15,7,0,20,4,11,7,28,17,0,42,25,30,16,6,56,41,35,31
M18,6,21,46,13,38,0,0,13,0,10,15,17,21,19,17,24,43,0,21
M19,7,0,46,29,0,23,0,0,27,6,22,15,38,27,17,22,16,14,6
M20,34,23,82,16,31,21,29,0,37,28,49,16,22,12,7,29,27,45,0
M21,35,16,43,18,43,0,16,0,52,16,13,21,21,6,0,37,11,25,19
M22_24,50,77,184,79,88,181,136,70,119,135,86,77,57,23,41,42,89,41,89
M25_29,135,196,248,73,245,288,146,144,217,213,185,140,141,106,76,122,197,127,154
M30_34,138,110,234,81,209,246,139,89,196,199,203,166,197,89,113,174,205,162,144
M35_39,134,97,170,101,157,116,129,53,174,111,173,146,168,95,105,184,232,147,149
M40_44,84,109,179,32,210,103,133,34,97,129,147,197,193,154,113,281,215,175,113
M45_49,82,71,127,65,142,87,92,46,123,112,190,145,148,161,72,230,165,137,118
M50_54,68,33,88,63,46,125,43,6,117,85,147,118,123,63,94,211,137,137,84
M55_59,21,23,72,44,46,43,50,29,121,31,95,60,63,125,59,121,58,35,69
M60_61,0,9,15,15,45,18,29,0,9,36,33,21,37,12,6,14,16,66,28
M62_64,21,6,26,4,24,15,5,0,26,28,41,44,21,35,18,91,52,31,47
M65_66,18,47,36,0,19,0,10,6,21,29,20,12,33,29,15,35,32,8,20
M67_69,25,10,18,8,33,6,22,0,30,26,45,18,24,18,34,32,33,41,17
M70_74,57,34,0,13,22,7,11,0,51,18,54,70,53,51,36,139,47,78,63
M75_79,45,12,38,25,33,27,37,9,36,52,38,38,30,76,28,73,41,77,42
M80_84,14,25,9,7,6,8,33,8,19,18,45,68,25,44,22,44,22,54,7
M85PLUS,6,7,0,0,6,0,18,0,0,8,21,44,55,10,6,12,15,37,33
FTOT,"1,072","1,380","1,394","1,189","1,206","1,286","1,384",795,"1,720","1,738","2,379","1,991","2,363","1,897","1,197","3,055","2,569","2,586","1,803"
F0,11,22,17,10,12,11,6,19,6,21,24,34,24,13,0,39,6,43,17
F1,5,10,0,20,14,6,0,17,6,29,36,2,28,46,17,24,37,18,24
F2,0,14,0,0,0,0,0,10,7,15,22,15,0,22,5,23,33,28,30
F3,4,5,0,12,0,0,5,4,0,4,46,31,25,30,20,41,39,17,8
F4,4,27,0,18,37,4,14,9,17,0,0,13,0,16,7,36,40,34,24
F5,10,8,19,25,6,23,14,9,0,8,13,5,0,40,11,39,30,7,6
F6,9,34,0,0,23,13,5,0,25,7,23,15,23,21,6,72,47,0,25
F7,0,0,0,28,4,33,14,4,9,8,42,18,17,22,7,64,24,19,25
F8,0,10,0,0,7,0,0,9,0,9,14,15,35,18,11,5,36,29,28
F9,18,9,9,24,10,5,4,9,0,8,28,13,34,26,16,67,40,52,7
F10,0,23,10,29,0,3,0,10,16,0,26,27,4,17,21,68,35,0,6
F11,25,10,11,6,0,5,0,4,0,9,19,28,34,20,5,26,50,23,29
F12,10,20,9,35,0,13,5,0,17,9,43,24,44,39,12,22,29,6,40
F13,9,30,10,22,11,4,0,0,0,35,22,0,26,13,10,53,25,53,18
F14,11,19,9,27,7,10,5,5,9,6,18,35,33,17,23,57,45,8,26
F15,0,16,0,26,0,0,18,23,0,17,34,0,32,20,15,48,29,30,6
F16,6,0,8,24,17,16,0,15,34,0,39,9,31,25,4,51,51,36,12
F17,14,19,9,19,18,0,6,8,9,9,36,19,40,25,6,70,29,5,10
F18,19,0,37,11,37,11,0,0,23,0,9,12,18,28,14,33,38,41,7
F19,6,11,29,0,31,15,16,0,54,20,41,22,21,9,26,16,31,12,14
F20,31,21,98,34,41,8,0,0,0,44,37,10,18,6,20,28,44,28,28
F21,7,21,45,41,8,70,17,17,36,13,27,14,10,21,7,8,31,27,4
F22_24,49,99,153,85,119,289,68,90,169,156,55,58,107,20,72,66,115,84,85
F25_29,151,215,145,91,166,202,182,136,255,223,172,210,172,76,90,119,214,162,187
F30_34,118,133,121,117,103,167,129,83,159,161,216,165,172,124,121,226,267,172,137
F35_39,79,140,129,63,114,51,134,78,65,154,211,171,194,141,91,329,237,181,124
F40_44,67,76,78,73,99,47,113,68,155,103,222,169,232,150,113,247,220,169,162
F45_49,48,102,70,106,33,67,65,46,151,158,200,163,200,138,96,253,179,161,127
F50_54,60,64,92,48,47,69,50,47,115,106,157,130,140,131,54,198,124,112,106
F55_59,26,57,44,26,23,54,32,19,94,60,125,88,118,90,58,129,111,97,80
F60_61,18,4,27,17,21,6,8,13,34,7,40,34,24,41,17,62,23,37,15
F62_64,74,18,29,35,23,13,25,11,47,42,57,36,31,46,38,79,41,47,26
F65_66,23,13,0,7,19,17,0,4,4,42,11,45,22,28,27,34,40,37,43
F67_69,21,31,65,7,6,5,60,0,42,30,90,69,62,51,13,53,23,107,52
F70_74,40,18,60,24,76,20,41,7,41,45,52,60,108,98,42,155,62,109,51
F75_79,40,50,37,64,8,23,88,5,55,78,55,69,111,86,39,78,39,170,64
F80_84,29,11,24,7,22,6,75,10,41,44,55,94,84,109,20,80,74,184,71
F85PLUS,30,20,0,8,44,0,185,6,25,58,62,69,89,74,43,57,31,241,79
